star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,sy_pnum,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_radj,pl_radjerr1,pl_radjerr2,sy_dist,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,hd_name,hip_name,Exo
Gaia DR2 6820267947037167616,,-0.32,nan,-0.22,-0.29,-0.36,-0.28,-0.56,-0.32,-0.28,nan,-0.26,-0.43,-0.31,-0.62,nan,-0.33,-0.3,331.59186876859434,-21.04413496317562,nan,nan,nan,112.950848920632,N/A,nan,nan,nan,nan,nan,nan,5095.6333,4.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 100802508775561088,,0.4,nan,0.42,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.68993639935118,22.60003814975741,nan,nan,nan,107.661805718739,N/A,nan,nan,nan,nan,nan,nan,6018.1665,4.17869,1.268,1.51791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 101478536628185600,,-0.05,nan,nan,nan,0.15,0.14,0.21,0.05,0.08,0.24,0.35,0.49,0.0,-0.16,0.2,0.0,nan,37.280597663273774,22.86809047879352,nan,nan,nan,51.134534829718,N/A,nan,nan,nan,nan,nan,nan,5179.87,4.4,0.85,0.863772,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 1022375118947641856,,-1.15,nan,nan,nan,-1.2,-0.77,nan,-0.84,-0.77,nan,-0.82,-1.12,-1.12,-1.63,-1.13,-1.16,nan,138.6679877141025,52.0163466161822,nan,nan,nan,281.3412,N/A,nan,nan,nan,nan,nan,nan,5860.0063,nan,nan,2.47217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 1022529565972058112,,-0.12,nan,nan,0.12,nan,0.15,-0.03,nan,-0.08,nan,0.0,nan,nan,nan,nan,nan,nan,138.99276743379477,52.51990235506598,nan,nan,nan,340.675584465082,N/A,nan,nan,nan,nan,nan,nan,4903.3447,3.3,nan,4.12159,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 1023494971540534784,,0.03,nan,nan,0.19,nan,0.09,0.16,nan,0.02,nan,0.19,nan,nan,nan,nan,nan,nan,137.44351277148024,53.656609475582066,nan,nan,nan,484.764610580691,N/A,nan,nan,nan,nan,nan,nan,4748.3667,nan,nan,7.42417,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 104717285566534016,,-0.05,-0.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.49049053528,23.6031092189392,nan,nan,nan,40.1641927524067,N/A,nan,nan,nan,nan,nan,nan,6108.0,4.22,1.13,1.14348,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 1053650967717923072,,-0.15,nan,-0.41,nan,nan,-0.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,153.86270172559034,64.94125164786017,nan,nan,nan,144.2804,N/A,nan,nan,nan,nan,nan,nan,4770.5596,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 106778526271397248,,-0.76,nan,nan,nan,-0.79,-0.4,nan,-0.5,-0.48,nan,nan,nan,-0.78,-1.06,nan,-0.79,nan,34.23563661416797,27.41344945987921,nan,nan,nan,88.1123429271203,N/A,nan,nan,nan,nan,nan,nan,5520.25,4.5,0.93,0.810729,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
Gaia DR3 1068982214258617216,,0.0,nan,0.16,0.03,-0.08,0.05,-0.07,-0.03,0.09,0.16,0.02,0.06,-0.0,-0.13,0.05,0.04,-0.03,137.59811110607924,67.13401715997978,nan,nan,nan,20.5956447826465,N/A,nan,nan,nan,nan,nan,nan,6315.3335,4.24,1.25,1.677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
