f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,f_name,f_p,f_m_p,f_e,f_a,
HIP 92922 ,0.35 ,,0.27 ,0.26 ,0.21 ,0.26 ,0.27 ,0.26 ,0.32 ,,0.28 ,0.27 ,0.28 ,0.24 ,,0.34 ,0.24 ,283.9784019 ,41.5218059 ,18.008 ,-72.343 ,66.007 ,99.57 ,thin ,G5 ,9.12 ,0.791 ,-51.40 ,-27.80 ,5.20 ,5565.0 ,4.07 ,0.98 ,1.52 ,,,,,,
HD 179732 ,0.04 ,-0.40 ,-0.05 ,0.21 ,-0.17 ,-0.07 ,-0.10 ,-0.02 ,0.06 ,,-0.04 ,0.09 ,-0.07 ,-0.09 ,,-0.14 ,0.41 ,287.9728407 ,42.1077069 ,40.116 ,-123.664 ,117.503 ,175.24 ,N/A ,,8.74 ,,,,,6302.0 ,3.92 ,1.22 ,2.46 ,,,,,,
HIP 20949 ,0.24 ,,0.13 ,,0.18 ,0.16 ,0.14 ,0.17 ,0.23 ,0.27 ,0.18 ,0.24 ,0.23 ,0.18 ,0.24 ,0.20 ,0.33 ,67.3781908 ,26.6715477 ,20.001 ,47.999 ,26.120 ,58.19 ,thin ,G8 ,9.19 ,0.766 ,-42.80 ,-20.50 ,-1.30 ,5430.5 ,4.53 ,0.93 ,0.95 ,,,,,,
HIP 92929 ,-0.08 ,-0.67 ,,,-0.10 ,,,-0.04 ,,,-0.06 ,,,,,-0.11 ,,284.0017256 ,-25.0457388 ,9.053 ,-36.304 ,-17.484 ,41.30 ,thin ,G0V ,7.38 ,0.569 ,0.00 ,15.50 ,-2.90 ,6109.5 ,4.31 ,,1.24 ,,,,,,
2MASS 19182590+4420435 ,0.25 ,,0.21 ,0.10 ,0.25 ,0.24 ,0.17 ,0.25 ,0.28 ,,0.21 ,0.29 ,0.24 ,0.24 ,,0.32 ,0.21 ,289.6079590 ,44.3454365 ,153.451 ,-430.751 ,446.937 ,639.41 ,N/A ,,,,,,,5482.6 ,4.37 ,0.96 ,1.06 ,b ,3.57878057 ,None ,None ,0.045 ,
HIP 60165 ,0.11 ,,,,0.42 ,0.35 ,0.07 ,0.14 ,0.08 ,,0.12 ,,0.11 ,,,0.21 ,,185.0664220 ,-64.6477801 ,-177.359 ,-15.724 ,-375.791 ,415.84 ,thin ,G5pBa ,7.14 ,1.072 ,-28.90 ,-23.20 ,-2.60 ,5156.0 ,,,24.75 ,,,,,,
HIP 92937 ,0.13 ,-3.02 ,-0.06 ,0.06 ,0.18 ,0.23 ,0.23 ,0.21 ,0.05 ,0.22 ,0.11 ,0.02 ,0.17 ,0.12 ,0.28 ,0.16 ,0.07 ,284.0255047 ,18.1054088 ,20.570 ,-82.346 ,27.751 ,89.30 ,thin ,K1III ,5.71 ,1.092 ,85.10 ,-10.80 ,-6.60 ,4688.0 ,2.55 ,,10.82 ,,,,,,
HIP 53719 ,0.15 ,,0.27 ,0.07 ,0.05 ,0.12 ,0.14 ,0.16 ,0.12 ,,0.23 ,0.19 ,0.15 ,0.02 ,0.20 ,0.25 ,0.11 ,164.8595991 ,-56.6230409 ,-19.646 ,5.316 ,-30.893 ,36.99 ,thick ,K1IV-V ,8.62 ,0.878 ,-26.00 ,-112.30 ,-46.20 ,5140.3 ,4.46 ,0.87 ,0.87 ,b ,55.087 ,0.13353 ,0.197 ,0.262 ,
HIP 60172 ,-0.41 ,-4.03 ,-0.33 ,-0.05 ,-0.34 ,-0.02 ,-0.32 ,-0.16 ,-0.31 ,-0.19 ,-0.25 ,-0.26 ,-0.47 ,-0.67 ,-0.19 ,-0.36 ,-0.58 ,185.0874192 ,3.3125733 ,-101.729 ,-9.057 ,5.911 ,102.30 ,thick ,K1III ,4.96 ,1.172 ,-96.00 ,-100.70 ,5.80 ,4411.6 ,2.20 ,,21.20 ,,,,,,
HIP 27417 ,-0.01 ,,,-0.08 ,-0.20 ,-0.03 ,-0.22 ,-0.05 ,0.04 ,,-0.02 ,0.09 ,0.03 ,-0.23 ,,-0.10 ,0.08 ,87.0835787 ,-24.4638483 ,2.064 ,40.515 ,-18.457 ,44.57 ,thin ,G1V ,7.80 ,0.566 ,4.20 ,-2.70 ,-9.00 ,6038.3 ,4.55 ,1.13 ,1.02 ,,,,,,
HIP 92961 ,0.12 ,-0.44 ,0.06 ,,-0.01 ,0.09 ,,0.08 ,0.13 ,,0.09 ,0.09 ,0.07 ,-0.02 ,,0.08 ,0.12 ,284.0886021 ,45.5147869 ,17.521 ,-69.811 ,73.281 ,102.72 ,N/A ,G0V ,9.29 ,0.528 ,,,,6114.0 ,4.43 ,1.16 ,1.17 ,,,,,,
HIP 92962 ,0.19 ,,0.06 ,0.18 ,0.04 ,0.16 ,0.01 ,0.11 ,0.22 ,,0.17 ,0.05 ,0.17 ,,,0.14 ,0.33 ,284.0921957 ,45.5070442 ,17.425 ,-69.413 ,72.845 ,102.12 ,thin ,F8 ,8.33 ,0.491 ,-37.80 ,-18.80 ,-10.50 ,6402.5 ,4.21 ,1.32 ,1.56 ,,,,,,
HIP 27429 ,0.11 ,,0.26 ,,,,,,,,,,,,,,,87.1238616 ,52.5440096 ,3.453 ,68.727 ,89.822 ,113.15 ,thin ,G0 ,9.19 ,0.554 ,-35.60 ,-14.00 ,-0.10 ,6272.0 ,4.32 ,1.22 ,1.27 ,,,,,,
HIP 92968 ,-0.04 ,-2.29 ,,,0.25 ,,0.34 ,0.23 ,0.27 ,0.01 ,-0.02 ,-0.06 ,0.04 ,-0.08 ,-0.02 ,0.01 ,0.04 ,284.1066810 ,2.4711893 ,40.585 ,-161.494 ,7.186 ,166.67 ,thin ,G8III/IV ,6.14 ,0.961 ,13.00 ,9.70 ,-9.10 ,5165.0 ,2.80 ,,12.59 ,,,,,,
HIP 92969 ,0.07 ,-1.95 ,-0.16 ,-0.09 ,0.14 ,0.14 ,0.09 ,0.12 ,0.07 ,0.05 ,0.04 ,-0.01 ,0.12 ,-0.03 ,0.09 ,0.06 ,0.07 ,284.1071648 ,65.2580851 ,9.360 ,-37.244 ,83.331 ,91.75 ,thin ,G8III ,5.63 ,0.938 ,15.40 ,-7.60 ,0.60 ,5049.3 ,2.94 ,,9.22 ,,,,,,
HIP 60202 ,-0.24 ,-2.81 ,-0.41 ,-0.16 ,-0.07 ,-0.21 ,-0.10 ,-0.10 ,-0.24 ,-0.30 ,-0.28 ,-0.46 ,-0.31 ,-0.47 ,-0.25 ,-0.31 ,-0.32 ,185.1792733 ,17.7928720 ,-88.365 ,-8.010 ,28.475 ,93.19 ,thin ,K0III ,4.74 ,1.010 ,-59.70 ,1.20 ,43.50 ,4736.2 ,2.76 ,,17.41 ,b ,None ,17.1 ,None ,1.21 ,
HIP 27435 ,-0.19 ,-1.75 ,-0.16 ,-0.20 ,-0.27 ,-0.15 ,-0.24 ,-0.21 ,-0.14 ,-0.15 ,-0.15 ,-0.24 ,-0.22 ,-0.35 ,-0.18 ,-0.22 ,-0.14 ,87.1455839 ,-4.0946443 ,0.757 ,15.190 ,-1.089 ,15.25 ,thin ,G2V ,5.97 ,0.639 ,-17.40 ,-28.90 ,-12.00 ,5730.8 ,4.48 ,1.02 ,0.92 ,,,,,,
HIP 92973 ,-0.52 ,,,-0.18 ,-0.50 ,-0.26 ,-0.31 ,-0.41 ,-0.35 ,-0.26 ,-0.32 ,-0.44 ,-0.57 ,-0.80 ,-0.27 ,-0.54 ,-0.65 ,284.1159378 ,-43.3508515 ,17.263 ,-68.644 ,-66.820 ,97.34 ,thick ,G0V(W) ,9.14 ,0.577 ,-94.30 ,-77.10 ,33.70 ,5850.0 ,4.25 ,1.06 ,1.29 ,,,,,,
HIP 60206 ,-0.06 ,-1.12 ,,,,,,,,,,,,,,,,185.1898778 ,25.7658628 ,-75.553 ,-6.862 ,36.618 ,84.24 ,thin ,F8/G0IV/V ,9.00 ,0.560 ,-2.80 ,-4.70 ,-1.70 ,6066.8 ,4.26 ,1.14 ,1.08 ,,,,,,
HIP 60207 ,0.01 ,,,0.09 ,-0.04 ,-0.13 ,-0.03 ,-0.08 ,0.05 ,,0.19 ,0.31 ,0.12 ,,-0.05 ,0.01 ,,185.1951248 ,-19.8960614 ,-27.582 ,-2.508 ,-10.024 ,29.45 ,N/A ,K3V(k) ,8.99 ,1.009 ,,,,4754.0 ,4.58 ,0.76 ,0.74 ,,,,,,
HIP 27441 ,0.09 ,,-0.06 ,,-0.05 ,,-0.02 ,0.01 ,0.06 ,,0.12 ,0.12 ,0.13 ,,-0.01 ,0.07 ,,87.1533850 ,-39.9320187 ,1.618 ,32.539 ,-27.271 ,42.49 ,thin ,K0V ,8.86 ,0.857 ,-16.70 ,-7.00 ,2.70 ,5257.0 ,4.54 ,0.90 ,0.85 ,,,,,,
HIP 60210 ,-0.13 ,-3.12 ,-0.51 ,-0.16 ,-0.02 ,-0.04 ,0.04 ,,-0.07 ,-0.09 ,-0.11 ,-0.11 ,-0.10 ,-0.27 ,-0.06 ,-0.16 ,-0.08 ,185.2029802 ,15.5409937 ,-136.493 ,-12.429 ,38.115 ,142.26 ,thin ,K0 ,6.47 ,1.025 ,-24.60 ,-6.30 ,-27.30 ,4889.0 ,,,10.91 ,,,,,,
2MASS 19142816-1620023 ,0.10 ,,,,-0.03 ,0.11 ,0.01 ,0.08 ,0.11 ,,0.05 ,0.11 ,0.11 ,,0.12 ,0.11 ,,288.6173487 ,-16.3339844 ,95.777 ,-284.312 ,-87.923 ,312.63 ,N/A ,,,,,,,5728.0 ,4.37 ,1.02 ,1.10 ,,,,,,
HIP 92983 ,,-1.00 ,0.05 ,0.12 ,-0.08 ,-0.02 ,-0.14 ,-0.09 ,0.09 ,,-0.01 ,0.11 ,-0.01 ,-0.15 ,,-0.10 ,0.10 ,284.1526994 ,47.6564342 ,16.032 ,-63.577 ,71.948 ,97.34 ,N/A ,F8 ,8.68 ,0.521 ,,,,6155.0 ,4.28 ,1.17 ,1.43 ,,,,,,
HIP 92984 ,,,0.05 ,0.10 ,-0.14 ,0.05 ,,0.01 ,0.14 ,0.49 ,0.07 ,0.03 ,0.08 ,-0.14 ,0.28 ,-0.03 ,0.10 ,284.1548843 ,4.2651286 ,6.487 ,-25.721 ,1.978 ,26.60 ,thin ,G1V ,6.71 ,0.583 ,14.00 ,-1.30 ,-4.60 ,6082.7 ,4.52 ,1.13 ,1.01 ,,,,,,
HIP 92986 ,0.10 ,-3.38 ,-0.08 ,,0.18 ,0.15 ,0.24 ,0.24 ,0.09 ,0.10 ,0.13 ,0.11 ,0.16 ,0.19 ,0.28 ,0.14 ,0.14 ,284.1582254 ,28.1989184 ,26.160 ,-103.700 ,57.343 ,121.35 ,thin ,K2III ,6.96 ,1.114 ,-45.60 ,-15.00 ,2.50 ,4697.0 ,,,8.22 ,,,,,,
HIP 60221 ,0.06 ,-2.24 ,-0.18 ,-0.01 ,0.08 ,0.20 ,0.18 ,0.15 ,0.06 ,0.09 ,0.08 ,-0.04 ,0.10 ,0.06 ,0.15 ,0.05 ,0.09 ,185.2321331 ,-13.5657248 ,-61.585 ,-5.639 ,-14.922 ,63.62 ,thin ,K0III ,5.15 ,1.048 ,0.90 ,-7.50 ,12.20 ,4730.0 ,2.86 ,,9.19 ,,,,,,
2MASS 19485138+4139505 ,0.17 ,,-0.01 ,0.20 ,0.06 ,0.08 ,-0.09 ,0.13 ,0.25 ,,0.16 ,0.01 ,0.12 ,-0.02 ,,0.15 ,-0.05 ,297.2140596 ,41.6640292 ,787.431 ,-1531.250 ,1532.176 ,2304.85 ,N/A ,,,,,,,,,,,b ,8.02511821 ,None ,None ,None ,
HIP 92997 ,0.04 ,-3.07 ,-0.03 ,0.02 ,0.28 ,0.26 ,0.26 ,0.26 ,0.07 ,0.16 ,0.08 ,0.16 ,0.10 ,-0.02 ,0.18 ,0.16 ,-0.06 ,284.1876559 ,57.8148202 ,11.337 ,-44.844 ,73.493 ,86.84 ,thin ,K1III ,5.68 ,1.155 ,24.40 ,-37.40 ,-11.40 ,4564.0 ,2.25 ,,11.44 ,,,,,,
HIP 27468 ,-0.02 ,,,,,,,0.17 ,-0.07 ,0.02 ,-0.17 ,-0.23 ,-0.06 ,,,-0.01 ,,87.2541075 ,24.5675429 ,2.601 ,54.222 ,24.816 ,59.69 ,N/A ,G9III ,4.89 ,1.021 ,,,,4747.5 ,2.59 ,,9.47 ,,,,,,
HIP 93007 ,0.27 ,-1.38 ,0.24 ,0.09 ,0.28 ,0.29 ,0.27 ,0.27 ,0.24 ,0.36 ,0.20 ,0.25 ,0.29 ,0.21 ,0.19 ,0.32 ,0.08 ,284.2052354 ,68.2923830 ,3.923 ,-15.498 ,40.158 ,43.22 ,thin ,G5 ,7.62 ,0.676 ,9.30 ,-24.70 ,12.70 ,5861.7 ,4.31 ,1.05 ,1.17 ,,,,,,
HIP 93016 ,0.43 ,,,,,,0.43 ,0.51 ,0.48 ,0.60 ,0.73 ,0.67 ,0.48 ,0.38 ,1.14 ,0.50 ,,284.2419400 ,2.4616869 ,28.505 ,-112.307 ,4.981 ,115.97 ,thin ,F7V ,7.66 ,0.540 ,-31.90 ,-20.40 ,-17.60 ,6498.0 ,3.67 ,1.24 ,2.69 ,,,,,,
HIP 93017 ,-0.04 ,-0.74 ,0.06 ,,-0.09 ,0.08 ,0.04 ,-0.08 ,0.10 ,0.38 ,0.12 ,0.18 ,0.05 ,-0.27 ,-0.01 ,-0.10 ,0.08 ,284.2567080 ,32.9012700 ,3.075 ,-12.102 ,8.078 ,14.87 ,thin ,F9V ,5.25 ,0.594 ,-15.00 ,-38.00 ,-27.20 ,5974.2 ,4.59 ,1.11 ,1.11 ,,,,,,
HIP 27483 ,-0.13 ,-3.36 ,-0.29 ,-0.09 ,0.02 ,0.04 ,0.03 ,0.04 ,-0.02 ,-0.10 ,-0.10 ,-0.26 ,-0.07 ,-0.19 ,-0.04 ,-0.12 ,-0.07 ,87.2934924 ,39.1810751 ,2.344 ,49.577 ,40.452 ,64.03 ,thin ,G9III ,4.50 ,0.949 ,17.50 ,-4.80 ,-13.10 ,4929.3 ,2.83 ,,11.42 ,,,,,,
HIP 27491 ,0.44 ,,,,0.57 ,0.45 ,0.28 ,0.38 ,0.36 ,,0.37 ,,,,,0.44 ,,87.3186971 ,-37.5133572 ,2.263 ,48.326 ,-37.140 ,60.99 ,thin ,K0V ,8.93 ,0.813 ,-11.60 ,-70.00 ,24.80 ,5406.0 ,4.25 ,0.94 ,1.07 ,,,,,,
HIP 60260 ,-0.18 ,-4.34 ,-0.58 ,-0.59 ,0.03 ,0.01 ,,-0.09 ,-0.06 ,-0.25 ,0.08 ,0.20 ,-0.11 ,-0.20 ,-0.10 ,-0.24 ,-0.56 ,185.3400191 ,-60.4011514 ,-31.289 ,-2.925 ,-55.322 ,63.62 ,thin ,K3III ,3.59 ,1.389 ,-55.30 ,-24.60 ,23.60 ,4221.0 ,1.85 ,,,,,,,,
HIP 60268 ,-0.59 ,-2.69 ,-0.21 ,-0.26 ,-0.60 ,-0.38 ,-0.54 ,-0.42 ,-0.51 ,,-0.54 ,-0.69 ,,-1.11 ,-0.59 ,-0.66 ,,185.3672595 ,61.7472693 ,-19.076 ,-1.792 ,35.655 ,40.48 ,thick ,G2.V ,8.20 ,0.622 ,-2.20 ,-101.50 ,-44.40 ,5617.4 ,4.43 ,1.01 ,0.89 ,,,,,,
2MASS 19165940-1635271 ,0.07 ,,,,-0.04 ,-0.01 ,-0.02 ,0.05 ,0.08 ,,0.03 ,0.09 ,0.09 ,,0.08 ,0.07 ,,289.2475460 ,-16.5908667 ,95.545 ,-273.636 ,-86.354 ,302.43 ,N/A ,,,,,,,5622.0 ,4.44 ,1.00 ,0.99 ,,,,,,
HIP 27517 ,0.13 ,-2.92 ,-0.26 ,-0.12 ,0.30 ,0.25 ,0.18 ,0.19 ,0.23 ,0.12 ,0.14 ,0.09 ,0.17 ,-0.03 ,0.14 ,0.09 ,0.23 ,87.4022580 ,-14.4836610 ,3.600 ,79.346 ,-20.517 ,82.03 ,thin ,G8III ,5.49 ,0.870 ,13.30 ,-5.80 ,-13.30 ,5069.3 ,2.80 ,,9.79 ,,,,,,
HIP 60288 ,0.15 ,,0.09 ,0.01 ,0.12 ,0.15 ,0.02 ,0.08 ,0.08 ,0.18 ,0.12 ,0.07 ,0.07 ,0.03 ,0.21 ,0.08 ,0.04 ,185.4352765 ,-61.5387468 ,-30.511 ,-2.903 ,-56.539 ,64.31 ,thick ,F8V ,7.92 ,0.570 ,-32.00 ,-98.50 ,-23.90 ,6139.5 ,4.20 ,1.15 ,1.36 ,,,,,,
HIP 4587 ,-0.19 ,-3.23 ,-0.36 ,-0.26 ,-0.15 ,,-0.09 ,-0.08 ,-0.11 ,-0.25 ,-0.18 ,-0.28 ,-0.20 ,-0.35 ,-0.14 ,-0.22 ,-0.16 ,14.6827847 ,-11.3799763 ,96.876 ,25.384 ,-20.157 ,102.16 ,thin ,G8III ,5.62 ,0.949 ,19.90 ,-0.60 ,15.60 ,4910.5 ,2.66 ,,11.16 ,,,,,,
HIP 60292 ,-0.57 ,,,,-0.38 ,-0.15 ,-0.23 ,-0.17 ,-0.30 ,,-0.18 ,,-0.46 ,,,-0.46 ,,185.4503207 ,-34.7800396 ,-193.878 ,-18.499 ,-135.260 ,237.12 ,N/A ,K1:Ba2+C21:CH3CN-1 ,9.40 ,1.063 ,,,,5015.0 ,,,4.41 ,,,,,,
HIP 93062 ,-0.34 ,-1.59 ,-0.10 ,-0.10 ,-0.32 ,-0.34 ,-0.48 ,-0.23 ,-0.35 ,,-0.41 ,-0.41 ,,-0.75 ,-0.41 ,-0.43 ,,284.3480058 ,64.8306054 ,11.281 ,-44.102 ,96.874 ,107.04 ,thin ,G0 ,8.21 ,0.517 ,49.80 ,4.80 ,-1.90 ,6099.0 ,3.84 ,1.16 ,1.98 ,,,,,,
HIP 60299 ,-0.46 ,,-0.04 ,0.51 ,-0.37 ,-0.44 ,-0.47 ,-0.53 ,-0.40 ,-0.38 ,-0.49 ,-0.44 ,-0.64 ,-0.43 ,-0.44 ,-0.58 ,0.53 ,185.4660754 ,-18.4000711 ,-125.819 ,-12.040 ,-42.046 ,133.20 ,N/A ,F3IV/V ,8.54 ,0.441 ,,,,6340.6 ,3.38 ,1.34 ,1.90 ,,,,,,
HIP 60304 ,-0.04 ,-0.68 ,,,0.08 ,-0.02 ,0.07 ,0.06 ,0.02 ,0.74 ,0.22 ,0.05 ,,-0.11 ,0.54 ,0.01 ,0.58 ,185.4840070 ,27.3095105 ,-75.304 ,-7.230 ,39.062 ,85.14 ,thin ,F6V ,8.50 ,0.463 ,-1.60 ,-6.40 ,-1.20 ,6428.2 ,4.47 ,1.28 ,1.25 ,,,,,,
HIP 60305 ,0.23 ,-3.28 ,0.04 ,0.05 ,0.44 ,0.45 ,0.43 ,0.39 ,0.21 ,0.34 ,0.30 ,0.30 ,0.31 ,0.36 ,0.45 ,0.33 ,0.28 ,185.4843755 ,47.1822031 ,-67.015 ,-6.434 ,72.658 ,99.05 ,thin ,K2III ,6.33 ,1.115 ,-15.80 ,-24.20 ,-7.10 ,4744.0 ,,,8.57 ,,,,,,
HIP 60314 ,0.11 ,-1.50 ,0.01 ,0.02 ,0.01 ,,0.08 ,0.08 ,0.16 ,0.14 ,0.20 ,0.08 ,0.13 ,0.03 ,,0.07 ,,185.5105250 ,34.2556651 ,-51.527 ,-4.971 ,35.254 ,62.63 ,N/A ,G5V ,8.79 ,0.630 ,,,,5829.0 ,4.46 ,1.05 ,1.00 ,,,,,,
HIP 60316 ,-0.16 ,-3.28 ,,,,,,,,,,,,,,,,185.5182180 ,61.5913967 ,-69.073 ,-6.673 ,128.296 ,145.86 ,thin ,G5 ,6.74 ,1.104 ,35.00 ,1.70 ,-14.80 ,4751.0 ,,,10.49 ,,,,,,
HIP 27549 ,0.18 ,,-0.16 ,-0.10 ,0.42 ,,,0.22 ,0.15 ,0.14 ,0.07 ,0.11 ,0.07 ,-0.08 ,0.19 ,0.09 ,,87.5111860 ,9.8712080 ,4.701 ,108.161 ,18.839 ,109.89 ,thin ,G8III ,5.79 ,0.876 ,-43.70 ,-19.60 ,-2.90 ,5218.6 ,,,,,,,,,
2MASS 19223277+4859458 ,-0.04 ,,-0.03 ,-0.08 ,-0.18 ,-0.06 ,-0.15 ,-0.04 ,-0.01 ,,-0.02 ,-0.08 ,-0.04 ,-0.23 ,,-0.04 ,-0.04 ,290.6366015 ,48.9961804 ,150.826 ,-400.490 ,492.233 ,652.25 ,N/A ,,,,,,,5904.1 ,4.31 ,1.07 ,1.19 ,b ,14.4273551 ,None ,None ,None ,
HD 137392b ,0.08 ,-0.61 ,,,0.14 ,0.17 ,0.17 ,0.15 ,0.18 ,0.56 ,0.23 ,0.08 ,0.25 ,,,0.16 ,0.38 ,231.1287390 ,37.3479311 ,-18.301 ,-22.703 ,22.253 ,36.68 ,N/A ,,,,,,,5626.0 ,4.36 ,1.00 ,1.10 ,,,,,,
HIP 60329 ,-0.26 ,-3.28 ,,,,,,,,,,,,,,,,185.5501974 ,-68.3073259 ,-46.891 ,-4.557 ,-118.430 ,127.46 ,thin ,K0III ,5.73 ,1.038 ,11.00 ,-14.20 ,-24.80 ,4871.0 ,,,14.02 ,,,,,,
HIP 60331 ,-0.56 ,-1.64 ,,-0.22 ,-0.59 ,-0.42 ,-0.47 ,-0.28 ,-0.57 ,,-0.53 ,-0.60 ,,-1.12 ,-0.44 ,-0.69 ,,185.5489004 ,73.2484840 ,-12.320 ,-1.197 ,41.125 ,42.95 ,thick ,G7.V ,8.00 ,0.744 ,-47.20 ,-79.00 ,-105.10 ,5292.4 ,4.53 ,0.89 ,1.26 ,,,,,,
BD+47 02922 ,-0.14 ,,-0.08 ,0.10 ,0.17 ,0.02 ,,0.01 ,0.23 ,,,0.44 ,,-0.15 ,0.98 ,-0.03 ,,297.0672396 ,47.7079678 ,98.838 ,-193.418 ,238.776 ,322.79 ,N/A ,,9.43 ,,,,,7200.0 ,3.80 ,1.61 ,2.43 ,,,,,,
HIP 93101 ,0.05 ,,0.15 ,,0.26 ,-0.27 ,0.15 ,0.15 ,0.07 ,-0.16 ,0.21 ,0.10 ,0.11 ,-0.04 ,0.14 ,0.07 ,,284.5005676 ,5.9081220 ,2.765 ,-10.691 ,1.143 ,11.10 ,thin ,M2.V ,9.22 ,1.444 ,46.20 ,-40.80 ,-19.60 ,3784.0 ,4.66 ,0.58 ,0.59 ,b ,2.37756 ,0.00931 ,0.24 ,0.029 ,
HIP 93108 ,-0.29 ,-1.24 ,-0.28 ,-0.14 ,-0.44 ,-0.25 ,,-0.33 ,-0.25 ,,-0.33 ,-0.50 ,-0.36 ,,,-0.39 ,,284.5145370 ,47.1918750 ,8.440 ,-32.599 ,36.354 ,49.55 ,thin ,G0 ,8.10 ,0.605 ,-6.60 ,-31.40 ,-0.40 ,5806.5 ,4.45 ,,,,,,,,
HIP 60343 ,-0.71 ,,,,,,,,,,-0.48 ,,,,,,,185.5886392 ,25.1699565 ,-25.077 ,-2.454 ,11.841 ,27.84 ,thick ,M0 ,11.35 ,1.350 ,-72.40 ,-74.70 ,17.00 ,3858.0 ,4.70 ,0.54 ,0.54 ,,,,,,
HIP 27576 ,-0.01 ,,,,0.14 ,0.09 ,0.07 ,0.12 ,0.08 ,0.19 ,0.03 ,0.08 ,0.08 ,,0.18 ,0.13 ,-0.05 ,87.6112078 ,75.7146432 ,0.659 ,15.793 ,62.077 ,64.06 ,thin ,F8 ,7.62 ,0.531 ,15.80 ,-18.00 ,-17.60 ,6260.0 ,4.19 ,1.22 ,1.48 ,,,,,,
HIP 27578 ,-0.14 ,-1.67 ,-0.13 ,-0.03 ,-0.21 ,-0.10 ,-0.14 ,-0.17 ,-0.12 ,-0.14 ,-0.11 ,-0.18 ,-0.14 ,-0.31 ,-0.18 ,-0.20 ,0.06 ,87.6140414 ,-43.6996460 ,1.510 ,36.247 ,-34.668 ,50.18 ,thin ,G6V ,8.70 ,0.678 ,-57.00 ,-17.70 ,0.00 ,5672.0 ,4.52 ,1.01 ,0.88 ,,,,,,
HIP 60347 ,-0.07 ,-0.72 ,,,,,,,-0.02 ,,,,,,,,,185.6031519 ,22.4641417 ,-78.622 ,-7.713 ,32.665 ,85.49 ,thin ,F6V ,8.54 ,0.470 ,-2.40 ,-6.00 ,-1.30 ,6413.5 ,4.21 ,1.37 ,1.17 ,,,,,,
HIP 6512 ,-0.05 ,,0.07 ,0.12 ,-0.03 ,0.13 ,0.16 ,0.05 ,0.04 ,-0.02 ,0.12 ,0.03 ,-0.04 ,-0.09 ,0.01 ,-0.01 ,0.09 ,20.9061319 ,34.2458618 ,41.805 ,15.969 ,30.465 ,54.14 ,thin ,G8IV ,6.29 ,0.829 ,-58.60 ,-19.80 ,33.20 ,5244.0 ,3.74 ,,3.65 ,,,,,,
HIP 27581 ,0.23 ,-2.71 ,,,,,,,,,,,,,,,,87.6204526 ,14.3056067 ,3.468 ,83.449 ,21.298 ,86.19 ,thin ,G9III ,5.52 ,1.006 ,-39.40 ,-26.30 ,-10.70 ,4770.0 ,2.82 ,,8.85 ,,,,,,
HIP 60351 ,0.34 ,-1.27 ,,,,,,,,,,,,,,,,185.6262948 ,25.8461638 ,-75.589 ,-7.447 ,36.794 ,84.40 ,thin ,F5V ,4.81 ,0.515 ,-2.20 ,-6.50 ,0.40 ,5779.5 ,3.04 ,,10.50 ,,,,,,
HIP 60353 ,0.17 ,-0.55 ,0.18 ,0.04 ,0.06 ,0.18 ,0.01 ,0.14 ,0.22 ,0.47 ,0.19 ,0.10 ,0.18 ,0.04 ,0.34 ,0.14 ,0.19 ,185.6334931 ,5.3054471 ,-29.709 ,-2.931 ,2.772 ,29.98 ,thin ,F8V ,6.46 ,0.567 ,-16.40 ,-19.30 ,-1.00 ,6103.2 ,4.30 ,1.13 ,1.26 ,,,,,,
2MASS 19004386+4349519 ,-0.09 ,,-0.17 ,-0.11 ,-0.30 ,-0.13 ,-0.66 ,-0.11 ,-0.04 ,,0.07 ,0.08 ,-0.08 ,-0.46 ,,-0.16 ,-0.15 ,285.1827792 ,43.8310847 ,50.505 ,-186.111 ,185.130 ,267.32 ,N/A ,,,,,,,6407.6 ,4.22 ,1.29 ,1.47 ,b c ,None 13.39152873 ,None None ,None None ,None 0.1197 ,
HD 12782 ,-0.44 ,,,-0.12 ,-0.40 ,-0.08 ,-0.11 ,-0.24 ,-0.18 ,-0.23 ,-0.17 ,-0.43 ,-0.43 ,,-0.25 ,-0.43 ,,31.6740638 ,51.3280608 ,55.306 ,34.123 ,81.197 ,104.00 ,N/A ,,8.40 ,,,,,5010.5 ,3.40 ,,2.94 ,,,,,,
HIP 93133 ,-0.14 ,,,,,,,,,,,,,,,,,284.5874786 ,39.2956522 ,94.930 ,-364.768 ,308.456 ,487.04 ,N/A ,K2 ,8.42 ,1.345 ,,,,4434.0 ,,,22.15 ,,,,,,
HIP 60366 ,0.05 ,,,0.03 ,,,,,,,,,,,,,,185.6709740 ,5.9149414 ,-57.292 ,-5.689 ,5.965 ,57.88 ,N/A ,G0 ,8.45 ,0.617 ,,,,5946.0 ,4.49 ,1.09 ,1.01 ,,,,,,
