star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
2MASS 04215269+5749018,b,0.01,,-0.6,0.13,-0.3,-0.06,-1.5,-0.01,0.07,,0.01,-0.24,-0.05,-0.38,,-0.16,0.14,65.4696017,57.8171922,47.113,103.234,180.318,213.05,N/A,,9.85,,,,,6770.0,4.24,1.41,1.69,,,Gaia DR2 470650560777348352,TIC 8400842,Transit,,,,,,,,,,,,,,,,,,,
HIP 113357,b,0.23,-1.98,0.22,0.1,0.24,0.24,0.24,0.2,0.21,0.28,0.2,0.16,0.2,0.17,0.29,0.24,0.2,344.366585,20.7688284,13.922,-3.896,5.483,15.46,thin,G2V+,5.46,0.666,-15.4,-29.5,15.4,5762.4,4.3,1.03,1.18,,,Gaia DR2 2835207319109249920,TIC 139298196,Radial Velocity,4.2293,0.0011,-0.0011,,,,,,,,,,0.47,0.02,-0.02,,,,
2MASS 18472048+4409213,b,0.21,,0.03,0.18,-0.03,0.14,0.05,0.17,0.25,,0.2,0.19,0.2,,,0.18,0.28,281.8353428,44.1559238,62.136,-296.515,294.158,422.27,N/A,,,,,,,6032.1,4.08,1.12,1.59,,,Gaia DR2 2105291955168605440,TIC 123410927,Transit,14.7967458,0.0001134,-0.0001134,0.1272,,,,,,88.24,,,,,,,,,17.63
2MASS 19454045+4932243,b,0.04,,-0.04,-0.1,-0.22,0.04,-0.08,-0.02,0.09,,0.04,-0.05,0.03,-0.2,,0.02,0.14,296.4185588,49.5400972,164.76,-331.637,434.191,570.66,N/A,,,,,,,5927.0,4.37,1.08,1.12,,,Gaia DR2 2134886100904948608,TIC 27847148,Transit,15.95999283,1.785e-05,-1.785e-05,,,,,,,,,,,,,,,,
2MASS 19454045+4932243,c,0.04,,-0.04,-0.1,-0.22,0.04,-0.08,-0.02,0.09,,0.04,-0.05,0.03,-0.2,,0.02,0.14,296.4185588,49.5400972,164.76,-331.637,434.191,570.66,N/A,,,,,,,5927.0,4.37,1.08,1.12,,,Gaia DR2 2134886100904948608,TIC 27847148,Transit,7.37868977,,,,,,,,,,,,,,,0.109,,,
HIP 113421,b,0.39,-2.28,0.37,0.19,0.41,0.42,0.39,0.35,0.3,0.4,0.38,0.29,0.34,0.4,0.46,0.41,0.32,344.564755,-2.3953853,19.321,-5.335,-0.838,20.06,thin,G8IV-V,6.18,0.744,-1.5,-8.5,10.4,5622.2,4.34,0.98,1.2,,,Gaia DR2 2648914040357320576,TIC 38271828,Radial Velocity,7.126846,1.3e-05,-1.3e-05,0.07505,0.00097,-0.00097,0.1283,0.0027,-0.0027,,,,1.4135,0.0042,-0.0042,,,,
HIP 113421,c,0.39,-2.28,0.37,0.19,0.41,0.42,0.39,0.35,0.3,0.4,0.38,0.29,0.34,0.4,0.46,0.41,0.32,344.564755,-2.3953853,19.321,-5.335,-0.838,20.06,thin,G8IV-V,6.18,0.744,-1.5,-8.5,10.4,5622.2,4.34,0.98,1.2,,,Gaia DR2 2648914040357320576,TIC 38271828,Radial Velocity,5141.0,13.0,-13.0,5.942,0.083,-0.086,0.3928,0.0069,-0.0067,,,,4.31,0.13,-0.13,,,,
HIP 80680,b,0.28,-0.35,0.34,0.16,0.38,0.26,0.18,0.29,0.28,0.36,0.33,0.23,0.24,0.24,0.3,0.31,0.4,247.0720192,-46.3176287,-15.371,-36.339,-41.314,57.13,thin,G0/2V,7.69,0.56,3.3,12.1,-3.2,6185.3,4.51,1.18,1.32,,,Gaia DR2 5942178414758660864,TIC 225317852,Radial Velocity,1027.0,28.0,-28.0,2.45,0.04,-0.05,0.52,0.04,-0.09,,,,0.85,0.67,-0.05,,,,
HIP 80687,b,0.14,,0.02,0.14,0.12,0.13,0.17,0.14,0.1,0.07,0.17,0.19,0.06,0.24,0.14,0.15,0.25,247.1172958,-13.3996355,-26.989,-63.945,-16.535,71.35,thin,K0III/IV,6.89,0.95,-37.9,-7.5,-7.1,5025.5,3.48,,4.0,,,Gaia DR2 4330532859324207360,TIC 413853880,Radial Velocity,331.5,3.0,-3.0,0.93,0.01,-0.01,0.16,0.08,-0.08,,,,0.96,0.1,-0.1,,,,
B-17 00588a,b,0.1,,0.01,,0.03,-0.13,-0.06,0.06,-0.12,-0.07,0.06,0.05,0.02,-0.15,0.09,-0.02,,45.4641368,-16.5933395,4.617,4.693,-1.962,6.87,N/A,,,,,,,3384.0,4.95,0.25,0.28,,,Gaia DR2 5153091836072107136,TIC 98796344,Transit,5.35877595,7.55e-06,-7.55e-06,,,,,,,,,,,,,0.129,0.027,-0.027,
B-17 00588a,c,0.1,,0.01,,0.03,-0.13,-0.06,0.06,-0.12,-0.07,0.06,0.05,0.02,-0.15,0.09,-0.02,,45.4641368,-16.5933395,4.617,4.693,-1.962,6.87,N/A,,,,,,,3384.0,4.95,0.25,0.28,,,Gaia DR2 5153091836072107136,TIC 98796344,Transit,3.1239035,3.4e-06,-3.6e-06,0.02661,0.00047,-0.00049,0.223,,,87.43,0.18,-0.29,0.00485,0.00063,-0.0006,0.102,0.005,-0.005,21.56
NAME tres-5b,b,0.28,,0.18,0.17,0.2,0.18,0.02,0.18,0.3,,0.23,0.28,0.21,0.18,,0.28,0.14,,,,,,,N/A,,,,,,,,,,,,,Gaia DR2 2188601779406152448,TIC 233948455,Transit,1.4822446,7e-07,-7e-07,0.02446,0.00068,-0.00068,,,,84.529,0.005,-0.005,1.778,0.063,-0.063,1.209,0.021,-0.021,
2MASS 05041962-0613473,b,0.06,-0.9,,,-0.07,0.11,0.01,0.03,0.01,0.08,0.07,-0.03,-0.06,,-0.08,-0.03,,76.0818017,-6.2298267,48.354,195.122,-21.944,202.22,N/A,,10.94,,,,,6072.0,4.69,1.14,1.1,,,Gaia DR2 3211188618762023424,TIC 43647325,Transit,3.161575,2e-06,-2e-06,0.04313,0.0004,-0.00041,0.028,,,87.96,0.31,-0.25,0.701,0.019,-0.019,1.32,0.05,-0.05,
Gaia DR2 5557345496687437696,b,0.26,-2.99,,,0.07,0.07,,0.04,0.07,0.2,0.22,0.43,0.04,-0.07,0.18,0.05,,101.1275562,-42.7618517,-29.4,149.471,-140.876,207.49,N/A,,,,,,,5046.0,4.47,0.84,0.89,,,Gaia DR2 5557345496687437696,TIC 170102285,Transit,2.94443,1.1e-06,-1.1e-06,0.037,0.0019,-0.0022,0.065,,,88.39,0.79,-0.45,0.879,0.095,-0.1,0.962,0.047,-0.056,
2MASS 07324421+3350061,b,0.07,,-0.21,0.29,-0.2,-0.01,-0.28,0.06,0.17,,0.1,-0.04,0.06,-0.35,,-0.08,0.21,113.1842378,33.8350328,-129.534,302.456,220.556,396.11,N/A,,,,,,,6642.3,4.14,1.4,1.67,,,Gaia DR2 893550942158776832,TIC 239154970,Transit,3.474474,1e-06,-1e-06,0.04995,0.00048,-0.00049,0.22,,,87.2,,-0.1,0.66,0.14,-0.14,1.686,0.045,-0.045,
HIP 15249,b,-0.01,,,0.06,,,,,,,,,,,,,,49.1776238,15.6572251,40.084,46.401,17.186,63.68,thick,G5,8.77,0.67,55.7,-83.5,18.5,5640.0,4.28,1.0,1.11,,,Gaia DR2 30398648945512960,TIC 333657795,Transit,0.926118,5e-05,-4.3e-05,0.018,0.0003,-0.0003,,,,76.01,0.46,-0.46,0.02335,0.00343,-0.00343,0.153,0.006,-0.006,3.42
HIP 80824,b,0.01,,-0.06,,0.07,-0.02,0.09,0.01,-0.1,-0.08,0.11,0.11,0.02,-0.15,0.04,-0.07,,247.5752425,-12.6625897,-1.603,-3.884,-0.944,4.31,thin,M3.0V,10.07,1.604,-12.9,-21.0,-20.6,3570.0,5.1,0.3,0.32,,,Gaia DR2 4330690742322011520,TIC 413948621,Radial Velocity,4.8869,0.0005,-0.0005,0.0375,0.0012,-0.0013,0.15,0.13,-0.1,,,,0.00601,0.00082,-0.00079,,,,
HIP 80824,c,0.01,,-0.06,,0.07,-0.02,0.09,0.01,-0.1,-0.08,0.11,0.11,0.02,-0.15,0.04,-0.07,,247.5752425,-12.6625897,-1.603,-3.884,-0.944,4.31,thin,M3.0V,10.07,1.604,-12.9,-21.0,-20.6,3570.0,5.1,0.3,0.32,,,Gaia DR2 4330690742322011520,TIC 413948621,Radial Velocity,17.867,0.011,-0.011,0.08427,4e-05,-4e-05,0.19,0.13,-0.13,,,,0.01337,0.00116,-0.00116,,,,
HIP 80824,d,0.01,,-0.06,,0.07,-0.02,0.09,0.01,-0.1,-0.08,0.11,0.11,0.02,-0.15,0.04,-0.07,,247.5752425,-12.6625897,-1.603,-3.884,-0.944,4.31,thin,M3.0V,10.07,1.604,-12.9,-21.0,-20.6,3570.0,5.1,0.3,0.32,,,Gaia DR2 4330690742322011520,TIC 413948621,Radial Velocity,67.27,0.12,-0.12,0.2039,0.0002,-0.0002,0.32,0.16,-0.16,,,,0.01639,0.00214,-0.00214,,,,
2MASS 19490693+4343264,b,0.04,,0.07,-0.02,-0.09,0.04,-0.04,0.01,,,0.07,0.15,0.07,-0.09,,0.07,0.14,297.2789176,43.7240087,283.405,-549.583,591.406,855.64,N/A,,,,,,,5743.0,4.29,1.03,1.21,,,Gaia DR2 2078852754973778560,TIC 273036401,Transit,6.9198357,3.919e-05,-3.919e-05,,,,,,,,,,,,,,,,
2MASS 19490693+4343264,c,0.04,,0.07,-0.02,-0.09,0.04,-0.04,0.01,,,0.07,0.15,0.07,-0.09,,0.07,0.14,297.2789176,43.7240087,283.405,-549.583,591.406,855.64,N/A,,,,,,,5743.0,4.29,1.03,1.21,,,Gaia DR2 2078852754973778560,TIC 273036401,Transit,19.44639139,2.559e-05,-2.559e-05,0.1355,,,,,,88.21,,,,,,,,,26.0
HIP 80838,b,0.37,-0.84,0.29,0.31,0.47,0.27,0.33,0.37,0.37,0.72,0.48,0.37,0.35,0.47,0.53,0.42,0.43,247.6234104,38.3473086,-22.65,-55.018,47.068,75.86,thin,G0IV,8.14,0.611,-32.2,-20.6,9.3,6179.1,4.37,1.14,1.46,,,Gaia DR2 1331356474971716992,TIC 255930614,Radial Velocity,2.8758916,1.4e-06,-1.4e-06,0.04364,0.00022,-0.00022,0.013,,,84.5,0.6,-0.52,0.322,0.014,-0.012,0.811,0.029,-0.027,
HIP 80902,b,,-0.65,-0.02,-0.09,-0.17,-0.02,-0.17,-0.06,0.01,-0.03,-0.02,-0.08,-0.02,-0.23,-0.1,-0.07,0.1,247.8232639,79.7897776,-1.892,-4.64,27.822,28.27,thin,G0,7.03,0.607,19.9,-4.2,-13.4,5916.4,4.47,1.09,0.98,,,Gaia DR2 1709456705329541504,TIC 159511543,Radial Velocity,5894.0,5584.0,-1498.0,6.7,4.0,-1.4,0.38,0.28,-0.32,,,,2.71,1.14,-0.66,,,,
HIP 80920,b,-0.2,,-0.04,-0.02,-0.25,-0.06,-0.09,-0.12,-0.03,0.09,-0.07,-0.02,-0.12,-0.35,-0.08,-0.14,-0.22,247.867625,72.612348,-16.199,-39.83,137.31,143.88,thin,K2III,6.27,1.291,-37.1,-42.9,-17.4,4307.1,,,18.0,,,Gaia DR2 1654516686269888896,TIC 233008631,Radial Velocity,562.0,8.0,-8.0,1.4,0.1,-0.1,0.2,0.1,-0.1,,,,2.4,0.4,-0.4,,,,
2MASS 18495052+4815256,b,-0.34,,-0.25,-0.22,-0.56,-0.25,-0.34,-0.27,-0.29,,-0.27,-0.28,-0.32,-0.58,,-0.27,-0.13,282.4605355,48.2570985,65.991,-298.638,342.753,459.37,N/A,,,,,,,5289.0,4.69,0.91,0.71,,,Gaia DR2 2119711156811669120,TIC 48188777,Transit,18.87021566,2.757e-05,-2.757e-05,0.1274,,,,,,89.95,,,,,,,,,47.73
2MASS 18495052+4815256,c,-0.34,,-0.25,-0.22,-0.56,-0.25,-0.34,-0.27,-0.29,,-0.27,-0.28,-0.32,-0.58,,-0.27,-0.13,282.4605355,48.2570985,65.991,-298.638,342.753,459.37,N/A,,,,,,,5289.0,4.69,0.91,0.71,,,Gaia DR2 2119711156811669120,TIC 48188777,Transit,46.90191,0.00041,-0.00041,0.238,,,,,,89.38,,,,,,,,,71.0
2MASS 23095825+1823459,b,-0.11,-1.01,,,-0.32,-0.08,-0.22,-0.19,-0.05,0.07,0.03,-0.12,-0.25,-0.63,-0.02,-0.23,,347.4927226,18.3960785,239.4,-53.106,81.555,258.43,N/A,,11.55,,,,,5924.0,4.39,1.08,1.35,,,Gaia DR2 2831084391023184128,TIC 436478932,Transit,,,,,,,,,,86.82,0.24,-0.24,0.29,0.01,-0.01,1.15,0.01,-0.02,9.41
2MASS 19111156+4539241,b,-0.31,,-0.13,-0.23,-0.46,-0.25,-0.43,-0.31,-0.28,,-0.29,-0.08,-0.31,-0.55,,-0.3,-0.48,287.7981863,45.6567332,171.142,-533.102,572.884,801.05,N/A,,,,,,,5835.4,4.34,1.05,1.15,,,Gaia DR2 2130255885640736768,TIC 158559417,Transit,6.79164786,4.412e-05,-4.412e-05,,,,,,,,,,,,,0.087,0.012,-0.008,
2MASS 19111156+4539241,c,-0.31,,-0.13,-0.23,-0.46,-0.25,-0.43,-0.31,-0.28,,-0.29,-0.08,-0.31,-0.55,,-0.3,-0.48,287.7981863,45.6567332,171.142,-533.102,572.884,801.05,N/A,,,,,,,5835.4,4.34,1.05,1.15,,,Gaia DR2 2130255885640736768,TIC 158559417,Transit,11.8376933,0.0001051,-0.0001051,0.0953,,,,,,88.58,,,,,,,,,22.53
HIP 48235,b,-0.05,,0.13,-0.08,,0.05,0.02,-0.02,-0.01,0.08,0.09,0.26,-0.01,-0.1,0.03,-0.02,0.11,147.5104038,-49.790266,-18.255,11.625,-25.601,33.52,thin,K1.5V,8.55,0.855,11.9,-32.3,-2.9,5164.2,4.37,0.87,0.82,,,Gaia DR2 5406324138654973824,TIC 446137194,Radial Velocity,788.0,25.0,-25.0,1.52,0.04,-0.04,0.41,0.12,-0.12,,,,0.132,0.011,-0.011,,,,
HIP 81022,b,0.3,-1.41,0.36,0.21,0.36,0.37,0.32,0.31,0.31,0.47,0.28,0.21,0.26,0.24,0.34,0.34,0.31,248.2127117,2.0848282,-27.181,-68.001,2.666,73.28,thin,G3V,7.89,0.68,22.2,-17.3,-2.6,6013.0,4.25,1.06,1.73,,,Gaia DR2 4432401099808805888,TIC 281520119,Radial Velocity,4.072,0.7,-0.7,0.053,,,0.016,0.01,-0.01,,,,1.33,,,,,,
2MASS 19215682+4455574,b,-0.02,,-0.08,-0.04,-0.25,-0.14,-0.25,-0.04,0.03,,-0.08,-0.02,-0.01,-0.19,,-0.12,0.09,290.4867885,44.9325911,96.482,-258.234,275.021,389.4,N/A,,,,,,,5681.9,4.56,1.01,0.87,,,Gaia DR2 2127020229079881856,TIC 159440697,Transit,2.29503623,3.47e-06,-3.47e-06,0.0323,,,,,,89.38,,,,,,,,,10.71
2MASS 19492496+4118001,b,0.26,,0.21,0.05,0.3,0.25,0.19,0.21,0.32,,0.24,0.25,0.23,0.18,,0.32,0.12,297.3539915,41.3000591,71.928,-139.037,137.524,208.37,N/A,,,,,,,4782.0,4.61,0.77,0.75,,,Gaia DR2 2076871091425583232,TIC 169462917,Transit,4.60357804,3.78e-06,-3.78e-06,0.0492,,,,,,84.22,,,,,,,,,8.45
HIP 15510,b,-0.36,-2.19,-0.01,-0.02,-0.27,-0.06,-0.06,-0.18,-0.2,-0.14,-0.04,-0.2,-0.33,-0.63,-0.19,-0.32,-0.29,49.981886,-43.0697983,2.82,3.358,-4.099,6.0,thick,G8V,4.27,0.711,-78.7,-92.8,-28.9,5433.8,4.45,0.94,0.92,,,Gaia DR2 4847957293277762560,TIC 301051051,Radial Velocity,18.33,0.01,-0.02,0.127,0.001,-0.001,0.27,0.04,-0.22,,,,0.00887,0.00031,-0.00252,,,,
HIP 15510,c,-0.36,-2.19,-0.01,-0.02,-0.27,-0.06,-0.06,-0.18,-0.2,-0.14,-0.04,-0.2,-0.33,-0.63,-0.19,-0.32,-0.29,49.981886,-43.0697983,2.82,3.358,-4.099,6.0,thick,G8V,4.27,0.711,-78.7,-92.8,-28.9,5433.8,4.45,0.94,0.92,,,Gaia DR2 4847957293277762560,TIC 301051051,Radial Velocity,43.17,0.12,-0.1,0.225,0.002,-0.003,0.17,0.1,-0.16,,,,0.00793,0.00164,-0.00261,,,,
HIP 15510,d,-0.36,-2.19,-0.01,-0.02,-0.27,-0.06,-0.06,-0.18,-0.2,-0.14,-0.04,-0.2,-0.33,-0.63,-0.19,-0.32,-0.29,49.981886,-43.0697983,2.82,3.358,-4.099,6.0,thick,G8V,4.27,0.711,-78.7,-92.8,-28.9,5433.8,4.45,0.94,0.92,,,Gaia DR2 4847957293277762560,TIC 301051051,Radial Velocity,88.9,0.37,-0.41,0.364,0.004,-0.004,0.25,0.16,-0.21,,,,0.01108,0.00182,-0.00318,,,,
HIP 15510,e,-0.36,-2.19,-0.01,-0.02,-0.27,-0.06,-0.06,-0.18,-0.2,-0.14,-0.04,-0.2,-0.33,-0.63,-0.19,-0.32,-0.29,49.981886,-43.0697983,2.82,3.358,-4.099,6.0,thick,G8V,4.27,0.711,-78.7,-92.8,-28.9,5433.8,4.45,0.94,0.92,,,Gaia DR2 4847957293277762560,TIC 301051051,Radial Velocity,147.02,1.43,-0.91,0.509,0.006,-0.006,0.29,0.14,-0.18,,,,0.01501,0.00302,-0.00271,,,,
HIP 15527,b,-0.02,-2.62,-0.02,-0.07,-0.12,0.01,-0.05,-0.05,0.01,0.01,-0.02,-0.13,-0.07,-0.18,-0.03,-0.08,-0.16,50.0149072,-28.8540723,20.254,24.15,-17.366,35.99,thin,G1.5V,7.38,0.63,-37.7,-61.7,-3.3,5790.4,4.38,1.04,1.13,,,Gaia DR2 5060104351007433472,TIC 144503325,Radial Velocity,597.0643,0.0256,-0.0256,1.3649,0.0466,-0.0495,0.95,0.001,-0.001,,,,1.4878,0.1045,-0.1066,,,,
HIP 113834,b,-0.13,-1.12,-0.03,-0.16,-0.09,-0.02,-0.03,-0.11,-0.08,-0.07,-0.09,-0.18,-0.14,-0.29,-0.07,-0.13,-0.11,345.784196,-0.4296327,53.784,-13.625,-0.416,55.48,thin,F8V,7.78,0.578,42.9,-20.3,-18.6,6014.7,4.35,1.14,1.27,,,Gaia DR2 2650902026099857920,TIC 248048656,Radial Velocity,1319.0,4.0,-4.0,2.38,0.04,-0.04,0.4,0.05,-0.05,,,,13.0,0.8,-0.8,,,,
HIP 113834,c,-0.13,-1.12,-0.03,-0.16,-0.09,-0.02,-0.03,-0.11,-0.08,-0.07,-0.09,-0.18,-0.14,-0.29,-0.07,-0.13,-0.11,345.784196,-0.4296327,53.784,-13.625,-0.416,55.48,thin,F8V,7.78,0.578,42.9,-20.3,-18.6,6014.7,4.35,1.14,1.27,,,Gaia DR2 2650902026099857920,TIC 248048656,Radial Velocity,2.52220686,0.00011609,-4.877e-05,0.037863,0.001698,-0.001842,-0.518659,0.007023,-0.014652,,,,0.02315,0.00224,-0.00228,,,,
2MASS 19322962+4056051,b,0.01,,-0.03,-0.07,-0.12,0.01,-0.02,-0.02,0.01,,0.02,0.04,0.02,-0.13,,0.04,-0.01,293.1234289,40.9347734,202.063,-473.193,446.247,681.09,N/A,,,,,,,5245.0,4.41,0.9,0.9,,,Gaia DR2 2053546910744629504,TIC 137969066,Transit,3.70176812,1.336e-05,-1.336e-05,,,,,,,,,,,,,,,,
2MASS 19322962+4056051,c,0.01,,-0.03,-0.07,-0.12,0.01,-0.02,-0.02,0.01,,0.02,0.04,0.02,-0.13,,0.04,-0.01,293.1234289,40.9347734,202.063,-473.193,446.247,681.09,N/A,,,,,,,5245.0,4.41,0.9,0.9,,,Gaia DR2 2053546910744629504,TIC 137969066,Transit,86.49482304,6.47e-06,-6.47e-06,,,,,,,,,,,,,,,,
HIP 48331,b,-0.23,,-0.35,,-0.06,-0.09,0.24,-0.21,-0.12,0.84,0.28,0.56,-0.22,-0.43,0.06,-0.23,,147.7793834,-43.5027838,-6.922,4.363,-7.766,11.28,thin,K6V(k),7.65,1.156,34.4,10.7,-5.1,4474.6,4.49,0.69,0.69,,,Gaia DR2 5412947081287925504,TIC 35055332,Radial Velocity,58.43,0.13,-0.13,0.26,,,0.11,0.1,-0.1,,,,0.01,,,,,,
HIP 15578,b,0.11,,-0.01,,0.3,0.23,0.38,0.08,0.12,0.6,0.32,0.63,0.09,-0.04,0.27,0.12,,50.1778912,-33.7301039,25.417,30.482,-26.499,47.72,thin,K3/4III/V,9.93,1.037,-64.4,-50.0,-4.7,4802.0,4.26,0.78,0.77,,,Gaia DR2 5053536074700031616,TIC 142851295,Radial Velocity,380.85,0.09,-0.09,0.947,0.012,-0.012,0.75,0.002,-0.002,,,,1.99,0.05,-0.05,,,,
HD 146389,b,0.16,-1.13,0.04,0.19,0.02,-0.01,-0.13,0.04,0.08,,0.15,0.08,0.06,-0.12,0.1,0.05,0.07,243.9598553,10.032579,-58.895,-120.538,23.734,136.24,N/A,,9.39,,,,,6311.5,4.53,1.16,1.54,,,Gaia DR2 4453211899986180352,TIC 318696424,Transit,6.87188,1e-05,-1e-05,,,,0.03,,,89.5,0.35,-0.35,3.44,0.36,-0.36,1.23,0.06,-0.06,12.11
2MASS 19180016+5141086,b,-0.07,,-0.03,-0.08,-0.32,-0.06,-0.27,-0.11,-0.03,,-0.04,-0.08,-0.07,-0.42,,-0.09,-0.12,289.5006864,51.6857284,211.896,-598.352,803.338,1023.85,N/A,,,,,,,6098.0,4.28,1.15,1.29,,,Gaia DR2 2133285383772329344,TIC 416267321,Transit,21.30020491,3.986e-05,-3.986e-05,0.156,,,,,,89.89,,,,,,,,,40.659
2MASS 19461589+4406211,b,-0.13,,0.01,0.1,-0.34,-0.12,-0.23,-0.19,-0.14,,-0.06,-0.22,-0.13,-0.32,,-0.14,-0.11,296.5662362,44.1058663,296.932,-593.833,643.527,924.62,N/A,,,,,,,5536.0,4.52,0.97,0.89,,,Gaia DR2 2078832551450444032,TIC 272489533,Transit,4.79090809,2.282e-05,-2.282e-05,0.0525,,,,,,89.55,,,,,,,,,14.19
2MASS 19461589+4406211,c,-0.13,,0.01,0.1,-0.34,-0.12,-0.23,-0.19,-0.14,,-0.06,-0.22,-0.13,-0.32,,-0.14,-0.11,296.5662362,44.1058663,296.932,-593.833,643.527,924.62,N/A,,,,,,,5536.0,4.52,0.97,0.89,,,Gaia DR2 2078832551450444032,TIC 272489533,Transit,16.5141282,3.25e-05,-3.25e-05,0.1245,,,,,,89.95,,,,,,,,,31.38
2MASS 19461589+4406211,d,-0.13,,0.01,0.1,-0.34,-0.12,-0.23,-0.19,-0.14,,-0.06,-0.22,-0.13,-0.32,,-0.14,-0.11,296.5662362,44.1058663,296.932,-593.833,643.527,924.62,N/A,,,,,,,5536.0,4.52,0.97,0.89,,,Gaia DR2 2078832551450444032,TIC 272489533,Transit,30.1329303,0.0001003,-0.0001003,0.1859,,,,,,88.24,,,,,,,,,25.9
2MASS 19461589+4406211,e,-0.13,,0.01,0.1,-0.34,-0.12,-0.23,-0.19,-0.14,,-0.06,-0.22,-0.13,-0.32,,-0.14,-0.11,296.5662362,44.1058663,296.932,-593.833,643.527,924.62,N/A,,,,,,,5536.0,4.52,0.97,0.89,,,Gaia DR2 2078832551450444032,TIC 272489533,Transit,99.6409653,0.0005732,-0.0005732,0.4126,,,,,,89.95,,,,,,,,,135.0
HIP 8159,b,0.17,-1.31,0.18,0.04,0.12,0.2,0.18,0.15,0.15,0.24,0.17,0.08,0.1,0.15,0.2,0.15,0.14,26.2326046,20.083149,27.903,13.75,11.373,33.12,thin,G3Va,6.29,0.72,36.6,-28.2,16.9,5608.4,4.04,0.99,1.84,,,Gaia DR2 95652018353917056,TIC 456905162,Radial Velocity,1075.69,0.82,-0.82,2.14,0.088,-0.088,0.1043,0.0083,-0.0083,,,,6.383,0.078,-0.078,,,,
2MASS 22493256-1040320,b,0.18,,0.09,0.06,0.07,0.13,0.04,0.15,0.23,,0.07,0.19,0.17,0.05,,0.18,0.16,342.3856989,-10.6755354,275.366,-87.427,-54.463,294.0,N/A,,,,,,,6089.0,4.28,1.14,1.28,,,Gaia DR2 2605161444735454464,TIC 36592530,Transit,2.4841981,3.2e-06,-3.2e-06,,,,,,,,,,,,,1.386,0.061,-0.068,6.66
2MASS 19531078+4846316,b,0.22,,0.17,0.13,0.13,0.18,0.04,0.15,0.21,,0.18,0.21,0.2,0.19,,0.24,0.13,298.2949119,48.7754449,329.498,-612.074,793.352,1054.8,N/A,,,,,,,,,,,,,Gaia DR2 2086932653608913024,TIC 28448998,Transit,14.97032363,6.75e-06,-6.75e-06,,,,,,,,,,,,,,,,
2MASS 19531078+4846316,c,0.22,,0.17,0.13,0.13,0.18,0.04,0.15,0.21,,0.18,0.21,0.2,0.19,,0.24,0.13,298.2949119,48.7754449,329.498,-612.074,793.352,1054.8,N/A,,,,,,,,,,,,,Gaia DR2 2086932653608913024,TIC 28448998,Transit,32.27625196,0.0002852,-0.0002852,,,,,,,,,,,,,,,,
BD+46 02726,b,0.04,,0.05,,-0.03,0.06,,0.05,0.05,0.08,0.06,0.08,0.03,-0.08,0.09,0.08,-0.03,293.6791764,46.8527596,18.724,-42.697,49.739,68.17,N/A,,9.64,,,,,5378.5,4.4,0.93,0.91,,,Gaia DR2 2128215909315876352,TIC 270619260,Transit,68.958608,0.0002138,-0.0002138,,,,,,,,,,,,,0.087,0.004,-0.003,
HIP 48455,b,0.26,-2.97,0.15,0.17,0.58,0.54,0.43,0.48,0.25,0.37,0.29,0.36,0.26,0.25,0.46,0.28,0.18,148.1909009,26.0069504,-24.905,15.447,14.298,32.61,thin,K2IIIbCN1Ca1,3.88,1.222,-35.7,-17.5,-15.3,4496.7,2.42,,9.98,,,Gaia DR2 643819484616249984,TIC 82204610,Radial Velocity,357.8,1.2,-1.2,1.1,0.1,-0.1,0.09,0.06,-0.06,,,,2.4,0.4,-0.4,,,,
2MASS 19101708+4248501,b,-0.07,,-0.05,0.04,-0.25,-0.09,-0.23,-0.02,-0.02,,-0.09,-0.07,-0.06,-0.22,,-0.09,0.04,287.5711686,42.8139144,89.713,-283.305,275.317,405.1,N/A,,,,,,,5348.2,4.26,0.92,1.18,,,Gaia DR2 2102600488143944192,TIC 158552426,Transit,1.90781068,3.17e-06,-3.17e-06,,,,,,,,,,,,,,,,
2MASS 19102510+4210004,b,-0.42,,-0.28,-0.24,-0.52,-0.37,-0.52,-0.33,-0.36,,-0.33,-0.39,-0.45,-0.72,,-0.44,-0.48,287.6046368,42.1667375,89.845,-283.147,269.043,400.79,N/A,,12.73,,,,,5711.0,4.11,1.08,1.05,,,Gaia DR2 2102454253097554304,TIC 158553540,Transit,11.42754563,8.59e-06,-8.59e-06,,,,,,,,,,,,,0.211,0.021,-0.016,
2MASS 19102510+4210004,c,-0.42,,-0.28,-0.24,-0.52,-0.37,-0.52,-0.33,-0.36,,-0.33,-0.39,-0.45,-0.72,,-0.44,-0.48,287.6046368,42.1667375,89.845,-283.147,269.043,400.79,N/A,,12.73,,,,,5711.0,4.11,1.08,1.05,,,Gaia DR2 2102454253097554304,TIC 158553540,Transit,23.66838592,1.28e-06,-1.28e-06,,,,,,,,,,,,,,,,
