star_name,planet_letters,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
2MASS 18541567+4654153,b,0.08,,0.03,-0.08,0.03,0.04,-0.02,0.07,0.08,,0.07,0.09,0.09,-0.02,,0.09,-0.01,283.5653092,46.90426,62.361,-258.453,284.157,389.14,N/A,,,,,,,5025.4,4.56,0.84,0.8,,,Gaia DR2 2107563271311787136,TIC 164525875,Transit,3.57554956,2.329e-05,-2.329e-05,0.0431,,,,,,83.65,,,,,,,,,7.06
2MASS 18550888+4801464,b,-0.08,,0.05,0.15,-0.28,-0.08,-0.13,-0.06,-0.01,,-0.07,-0.03,-0.12,-0.29,,-0.11,-0.24,283.7869951,48.0295844,66.409,-270.633,309.807,416.69,N/A,,,,,,,5301.7,4.59,0.91,0.8,,,Gaia DR2 2131643641112197888,TIC 48353902,Transit,8.40691199,2.698e-05,-2.698e-05,0.0781,,,,,,89.38,,,,,,,,,33.92
HIP 26013,b,0.06,,-0.03,,0.3,0.06,0.2,0.07,0.14,0.42,0.25,0.55,0.07,-0.08,0.17,0.09,,83.2691692,-26.724519,3.409,28.889,-14.646,32.57,N/A,K3+V(k),9.13,1.045,,,,4891.0,4.41,0.8,0.73,,,Gaia DR2 2908664557091200768,TIC 31374837,Transit,0.490047,1e-05,-7e-06,0.0113,0.0002,-0.0003,,,,84.3,1.1,-1.3,0.00966,0.0011,-0.0011,0.114,0.004,-0.004,
HIP 26013,c,0.06,,-0.03,,0.3,0.06,0.2,0.07,0.14,0.42,0.25,0.55,0.07,-0.08,0.17,0.09,,83.2691692,-26.724519,3.409,28.889,-14.646,32.57,N/A,K3+V(k),9.13,1.045,,,,4891.0,4.41,0.8,0.73,,,Gaia DR2 2908664557091200768,TIC 31374837,Radial Velocity,4.8494,0.0003,-0.0002,0.052,0.001,-0.001,,,,86.35,0.04,-0.09,0.0089,0.00129,-0.00107,,,,
HIP 26013,d,0.06,,-0.03,,0.3,0.06,0.2,0.07,0.14,0.42,0.25,0.55,0.07,-0.08,0.17,0.09,,83.2691692,-26.724519,3.409,28.889,-14.646,32.57,N/A,K3+V(k),9.13,1.045,,,,4891.0,4.41,0.8,0.73,,,Gaia DR2 2908664557091200768,TIC 31374837,Transit,12.46103,2e-05,-2e-05,0.098,0.002,-0.002,,,,89.7,0.2,-0.2,0.03115,0.00481,-0.00469,0.294,0.008,-0.008,
2MASS 19155629+4003522,b,0.12,,0.08,0.06,0.04,0.09,0.01,0.08,0.14,,0.08,0.14,0.12,0.05,,0.16,0.13,288.9845582,40.0645238,123.198,-358.106,318.499,494.83,N/A,,11.88,,,,,5845.0,4.16,1.07,1.56,,,Gaia DR2 2101243789577188736,TIC 121865656,Transit,15.9654,,,,,,,,,,,,0.031,0.027,-0.027,0.301,0.008,-0.008,
2MASS 19155629+4003522,c,0.12,,0.08,0.06,0.04,0.09,0.01,0.08,0.14,,0.08,0.14,0.12,0.05,,0.16,0.13,288.9845582,40.0645238,123.198,-358.106,318.499,494.83,N/A,,11.88,,,,,5845.0,4.16,1.07,1.56,,,Gaia DR2 2101243789577188736,TIC 121865656,Transit,179.6076602,0.0002824,-0.0002824,0.6425,,,,,,89.38,,,,,,,,,80.5
2MASS 18481470+4705077,b,-0.04,,-0.03,-0.16,-0.22,-0.03,-0.17,-0.11,-0.06,,-0.01,-0.16,-0.04,-0.22,,-0.05,-0.07,282.0613164,47.0854815,110.788,-518.486,570.263,778.65,N/A,,,,,,,5841.2,4.29,1.05,1.22,,,Gaia DR2 2119534646538533888,TIC 351898154,Transit,9.17613539,3.367e-05,-3.367e-05,0.085,,,,,,89.95,,,,,,,,,16.546
2MASS 18481470+4705077,c,-0.04,,-0.03,-0.16,-0.22,-0.03,-0.17,-0.11,-0.06,,-0.01,-0.16,-0.04,-0.22,,-0.05,-0.07,282.0613164,47.0854815,110.788,-518.486,570.263,778.65,N/A,,,,,,,5841.2,4.29,1.05,1.22,,,Gaia DR2 2119534646538533888,TIC 351898154,Transit,19.738286,0.000205,-0.000205,0.145,,,,,,,,,,,,0.128,0.025,-0.025,
2MASS 19254039+3840204,b,-0.17,,-0.16,-0.17,-0.3,-0.12,-0.22,-0.18,-0.15,-0.15,-0.13,-0.13,-0.17,-0.34,-0.12,-0.16,-0.16,291.4182859,38.6723365,27.345,-69.71,59.932,95.91,N/A,,10.0,,,,,5669.0,4.47,1.0,0.92,,,Gaia DR2 2052747119115620352,TIC 137151335,Transit,4.72674,1e-06,-1e-06,,,,,,,89.18,0.04,-0.04,0.0143,0.00267,-0.00267,0.14,0.01,-0.01,12.5
