star_name,Fe,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,C_Mg,O_Mg,Si_Mg,Ca_Mg,Ti_Mg,Fe_Mg,C_Si,O_Si,Mg_Si,Ca_Si,Ti_Si,Fe_Si,C_O,Si_O,Mg_O,Ca_O,Ti_O,Fe_O,Prob0,Prob1,Prob2,Prob3,Prob4,Prob5,Prob6
Gaia DR3 2080586100694474240,-0.1,-0.17,-0.18,-0.32,-0.18,-0.37,-0.13,-0.04,,-0.13,-0.03,-0.07,-0.34,,-0.19,0.01,7.244359600749905,15.488166189124827,1.096478196143185,0.0812830516164097,0.0027542287033381,1.0,6.606934480075964,14.125375446227554,0.9120108393559097,0.0741310241300916,0.0025118864315095,0.9120108393559097,0.467735141287198,0.0707945784384137,0.0645654229034655,0.0052480746024977,0.0001778279410038,0.0645654229034655,0.9260301451536512,0.9190925907896018,0.9698373569080811,0.9702325317925624,0.9680424429776924,0.9977851760018944,0.998802525582408
Gaia DR3 2099574421688108928,0.03,0.04,-0.01,-0.26,0.0,-0.1,-0.0,0.02,,0.0,-0.04,0.03,-0.14,,0.01,-0.02,7.762471166286911,15.135612484362104,0.9772372209558112,0.061659500186148,0.002454708915685,0.8912509381337459,7.943282347242805,15.48816618912483,1.0232929922807537,0.0630957344480191,0.0025118864315095,0.9120108393559098,0.5128613839913637,0.0645654229034654,0.0660693448007595,0.0040738027780411,0.0001621810097358,0.0588843655355588,0.986506245561265,0.9913631242959068,0.9982433523636828,0.9987953856183216,0.9719870795277344,0.9883823098701552,0.985676161429116
Gaia DR3 2101479879638683392,-0.17,-0.11,-0.09,-0.28,-0.16,-0.28,-0.18,-0.13,,-0.12,-0.12,-0.17,-0.47,,-0.19,-0.17,7.943282347242838,18.197008586099862,0.9332543007969926,0.0630957344480193,0.0026915348039269,0.8128305161640995,8.511380382023775,19.49844599758045,1.0715193052376046,0.067608297539198,0.0028840315031265,0.8709635899560796,0.4365158322401665,0.0512861383991364,0.0549540873857623,0.0034673685045253,0.0001479108388168,0.0446683592150962,0.9612891559561564,0.9824283150381904,0.9345336673885656,0.9445223426102968,0.9721286370597244,0.9800461649702432,0.9979017072472852
Gaia DR3 2101485548995660416,0.05,0.04,-0.08,-0.21,0.01,-0.11,-0.01,0.07,,0.0,0.1,0.06,-0.09,,0.03,0.09,7.585775750291835,12.589254117941689,0.9332543007969925,0.0676082975391982,0.0023988329190194,0.9120108393559097,8.128305161640977,13.489628825916531,1.0715193052376049,0.0724435960074989,0.0025703957827688,0.9772372209558092,0.6025595860743568,0.0741310241300917,0.079432823472428,0.0053703179637025,0.0001905460717963,0.0724435960074989,0.9521595054440144,0.9854947259882676,0.9980026631158456,0.9985682288565676,0.9614030693882094,0.98781098680915,0.990608283765942
Gaia DR3 2106994445843935872,0.01,-0.03,0.04,-0.21,-0.04,-0.17,0.01,0.03,,-0.02,-0.03,-0.01,-0.27,,-0.03,0.03,7.244359600749921,18.62087136662866,1.096478196143185,0.0691830970918936,0.0025703957827688,0.9332543007969906,6.606934480075979,16.982436524617427,0.9120108393559097,0.0630957344480193,0.0023442288153199,0.851138038202376,0.389045144994282,0.0588843655355589,0.0537031796370253,0.0037153522909717,0.0001380384264602,0.0501187233627272,0.9933861512970106,0.9964079359554472,0.9995042703567836,0.999433122643916,0.9771414252502332,0.9977875798349728,0.9996055656053208
Gaia DR3 2117369540643692544,0.05,-0.02,-0.01,-0.25,-0.01,-0.18,-0.02,0.07,,0.01,0.12,0.11,-0.15,,-0.02,0.22,6.918309709189378,15.48816618912483,0.954992586021437,0.0707945784384137,0.0025703957827688,0.954992586021435,7.244359600749906,16.218100973589298,1.0471285480508985,0.0741310241300916,0.0026915348039269,0.999999999999998,0.4466835921509635,0.0616595001861482,0.0645654229034654,0.0045708818961487,0.0001659586907437,0.061659500186148,0.924493092691622,0.9697286012526096,0.987452735332021,0.9885953106184032,0.9933364865616828,0.9920790700911812,0.9995236863951226
Gaia DR3 2119132916774654208,0.05,-0.01,-0.07,-0.2,0.01,-0.11,0.03,0.08,,0.02,0.06,0.05,-0.09,,0.03,0.1,6.7608297539198325,12.88249551693135,1.0232929922807557,0.0691830970918936,0.0025118864315095,0.9120108393559097,6.606934480075964,12.589254117941662,0.9772372209558092,0.067608297539198,0.002454708915685,0.8912509381337441,0.5248074602497733,0.0794328234724282,0.0776247116628691,0.0053703179637025,0.0001949844599758,0.0707945784384137,0.9936876428292736,0.9978442880587466,0.9971681014952424,0.9966721894161462,0.9896131056117116,0.9964214102706918,0.9974407144218465
Gaia DR3 2119607145587563136,-0.02,-0.05,-0.06,-0.17,-0.06,-0.11,-0.03,0.0,,-0.04,0.02,0.02,-0.17,,-0.03,-0.01,7.244359600749892,15.488166189124795,1.0471285480508985,0.067608297539198,0.0025703957827688,0.9120108393559097,6.918309709189363,14.791083881682074,0.9549925860214368,0.0645654229034655,0.002454708915685,0.8709635899560815,0.4677351412871981,0.0676082975391981,0.0645654229034656,0.0043651583224016,0.0001659586907437,0.0588843655355589,0.9967983072789788,0.9981632482676092,0.9759237490971406,0.9803829853581096,0.9946593232361164,0.9997913914192336,0.9984352251234812
Gaia DR3 2119635153070609920,-0.13,-0.1,-0.09,-0.31,-0.12,-0.21,-0.13,-0.09,,-0.08,-0.15,-0.14,-0.36,,-0.13,-0.16,7.413102413009192,16.59586907437563,0.954992586021437,0.0630957344480193,0.0026915348039269,0.8128305161640996,7.762471166286927,17.378008287493763,1.0471285480508985,0.0660693448007595,0.0028183829312644,0.8511380382023759,0.4466835921509635,0.0575439937337156,0.0602559586074356,0.0038018939632056,0.0001621810097358,0.0489778819368445,0.9583217405820488,0.9703618114237188,0.9773342594298836,0.9760671422101448,0.9950152466617468,0.9948122392211404,0.997617102396514
Gaia DR3 2125795166969907968,-0.06,-0.09,0.0,-0.29,-0.15,-0.3,-0.15,0.01,,-0.04,-0.26,-0.08,-0.4,,-0.14,0.1,8.128305161641011,21.87761623949556,0.9772372209558112,0.0851138038202375,0.0031622776601683,1.023292992280756,8.317637711026727,22.387211385683425,1.0232929922807537,0.0870963589956079,0.0032359365692962,1.0471285480509007,0.3715352290971728,0.0446683592150962,0.0457088189614874,0.0038904514499427,0.0001445439770745,0.0467735141287198,0.9887624803308592,0.9867234468937875,0.943733072418145,0.9430564614468424,0.9832679083493416,0.9270119654793836,0.9903903740403984
Gaia DR3 2127704842568104320,-0.02,-0.18,-0.24,-0.27,-0.12,-0.35,-0.08,0.07,,0.0,-0.01,-0.0,-0.23,,-0.12,0.02,6.165950018614835,11.748975549395304,1.071519305237607,0.0912010839355909,0.0032359365692962,1.0471285480509007,5.754399373371578,10.964781961431852,0.9332543007969905,0.0851138038202376,0.003019951720402,0.9772372209558112,0.5248074602497733,0.0912010839355909,0.0851138038202375,0.0077624711662869,0.0002754228703338,0.0891250938133745,0.9736355419592576,0.9712787909207518,0.9956684832613774,0.9961885600124688,0.9772319004052304,0.9831950323011808,0.9949904028097306
Gaia DR3 2127832695152371584,0.06,0.01,-0.07,-0.04,0.06,-0.02,0.05,0.1,,0.08,0.16,0.09,-0.03,,0.09,-0.07,6.309573444801942,11.48153621496884,0.9549925860214368,0.0645654229034655,0.0025703957827688,0.8317637711026709,6.606934480075965,12.022644346174133,1.0471285480508985,0.067608297539198,0.0026915348039269,0.8709635899560797,0.5495408738576247,0.083176377110267,0.0870963589956079,0.0056234132519034,0.0002238721138568,0.0724435960074989,0.9759704251386322,0.975006613848703,0.9949146540123238,0.9955957742090804,0.9058928347695347,0.992422873190874,0.9958060431106088
Gaia DR3 2128191964879794560,-0.12,-0.1,-0.11,-0.25,-0.17,-0.21,-0.13,0.01,,-0.08,0.16,-0.11,-0.29,,-0.2,-0.05,8.317637711026727,17.782794100389268,1.071519305237607,0.0891250938133744,0.003019951720402,0.9332543007969906,7.762471166286927,16.59586907437563,0.9332543007969905,0.0831763771102669,0.0028183829312644,0.8709635899560796,0.4677351412871981,0.0602559586074356,0.0562341325190347,0.0050118723362727,0.0001698243652461,0.0524807460249771,0.9796565830851864,0.97629870581203,0.9471932706468787,0.9399923611209348,0.9849878260869566,0.9784270662478108,0.9945527093461888
Gaia DR3 2128525907175071872,-0.03,-0.04,-0.04,-0.25,-0.05,-0.2,-0.06,0.0,,-0.06,0.01,-0.01,-0.23,,-0.1,0.01,7.24435960074992,15.848931924611174,0.9549925860214368,0.0660693448007595,0.0023988329190194,0.8709635899560796,7.585775750291851,16.59586907437563,1.0471285480508985,0.0691830970918934,0.0025118864315095,0.9120108393559078,0.4570881896148751,0.0602559586074356,0.0630957344480191,0.0041686938347033,0.0001513561248436,0.0549540873857622,0.9748327049625064,0.989859930730391,0.9989378726296856,0.999205718824464,0.998886104149262,0.9999025748086292,0.9997685216704566
Gaia DR3 2128586655192626048,0.11,0.0,0.17,-0.09,-0.02,-0.08,-0.0,0.2,,0.14,-0.06,0.09,-0.16,,0.06,0.19,7.413102413009176,23.9883291901949,1.0232929922807537,0.0977237220955809,0.0035481338923357,1.122018454301963,7.244359600749906,23.44228815319923,0.9772372209558112,0.0954992586021434,0.0034673685045253,1.096478196143185,0.3090295432513592,0.0426579518801592,0.0416869383470335,0.0040738027780411,0.0001479108388168,0.0467735141287198,0.9477883129359675,0.9647191449089796,0.9552869747779952,0.9511366050562992,0.950158756684492,0.9387882834014856,0.9820055619172255
Gaia DR3 2129299035647555968,0.03,-0.04,0.11,-0.16,-0.03,-0.16,0.01,0.06,,0.03,0.02,0.04,-0.26,,-0.04,0.1,6.918309709189391,21.379620895022324,1.071519305237607,0.0724435960074989,0.0028183829312644,0.9549925860214368,6.456542290346576,19.95262314968879,0.9332543007969906,0.067608297539198,0.0026302679918953,0.8912509381337459,0.3235936569296294,0.0501187233627272,0.0467735141287198,0.003388441561392,0.0001318256738556,0.0446683592150963,0.9640606085903912,0.9803087783660592,0.9841161884520014,0.9877257136377808,0.979041999499012,0.9946445214149592,0.9994418047405752
Gaia DR3 2129520930836942848,-0.04,-0.04,-0.02,-0.18,-0.06,-0.13,-0.07,-0.02,,-0.04,-0.05,-0.06,-0.2,,-0.02,-0.04,7.413102413009192,16.98243652461746,0.9549925860214348,0.0645654229034655,0.0025703957827688,0.8709635899560796,7.762471166286943,17.782794100389264,1.0471285480509007,0.0676082975391982,0.0026915348039269,0.9120108393559097,0.4365158322401665,0.0562341325190347,0.0588843655355588,0.0038018939632056,0.0001513561248436,0.0512861383991363,0.9914038918948994,0.9969405351282192,0.924952164977677,0.9307919797370916,0.9926966682896292,0.9970533046076864,0.999277820926842
Gaia DR3 2129524121993184768,0.04,-0.1,0.12,-0.21,-0.05,-0.43,-0.02,0.03,,0.03,0.05,-0.01,-0.29,,-0.04,-0.04,6.309573444801943,22.9086765276777,1.0471285480509007,0.0707945784384137,0.0029512092266663,1.0232929922807537,6.025595860743581,21.87761623949547,0.9549925860214348,0.067608297539198,0.0028183829312644,0.9772372209558092,0.2754228703338175,0.0457088189614876,0.0436515832240166,0.0030902954325135,0.0001288249551693,0.0446683592150963,0.9252659130144232,0.952609469760196,0.9997308819988384,0.9996175312349492,0.977896712309724,0.9798220328361952,0.996568300355426
Gaia DR3 2129804600536996480,0.01,0.05,0.02,-0.17,-0.06,-0.33,-0.05,0.04,,-0.04,-0.01,0.03,-0.2,,-0.08,0.11,9.120108393559116,18.620871366628656,1.0,0.0741310241300916,0.0025703957827688,0.9772372209558092,9.120108393559116,18.620871366628656,1.0,0.0741310241300916,0.0025703957827688,0.9772372209558092,0.4897788193684477,0.0537031796370253,0.0537031796370253,0.0039810717055349,0.0001380384264602,0.0524807460249772,0.981804039225491,0.9939373713777184,0.9387321850630512,0.9512032748339212,0.9931400105752372,0.9475507450020172,0.9966368476233268
Gaia DR3 2131060521993182976,0.12,0.0,-0.12,-0.04,-0.01,-0.04,0.01,0.25,,0.12,0.15,0.12,-0.05,,0.08,0.13,7.244359600749906,12.022644346174156,1.0232929922807537,0.1071519305237604,0.0033113112148259,1.1220184543019631,7.079457843841388,11.748975549395327,0.9772372209558112,0.1047128548050898,0.0032359365692962,1.096478196143185,0.6025595860743569,0.0851138038202374,0.0831763771102669,0.0089125093813374,0.0002754228703338,0.0933254300796988,0.9129702570669042,0.9241218059344208,0.977727053619531,0.9761004150905974,0.9911752014810072,0.9239939350943815,0.978072620002447
Gaia DR3 2131133261560058496,-0.01,-0.09,-0.02,-0.24,-0.11,-0.23,-0.08,0.01,,0.01,-0.06,0.02,-0.22,,-0.11,0.04,7.413102413009192,19.054607179632523,1.0471285480509007,0.0776247116628691,0.0032359365692962,1.0471285480509007,7.079457843841388,18.197008586099862,0.9549925860214348,0.0741310241300916,0.0030902954325135,1.0,0.3890451449942804,0.0549540873857623,0.0524807460249771,0.0040738027780411,0.0001698243652461,0.0549540873857623,0.9925299428269369,0.9909965071457396,0.9768170159701852,0.9829519710013592,0.9617991288253058,0.9925845541689274,0.9997277392831376
