hostname,pl_letter,gaia_id,tic_id,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_ratdor
"Kepler-28","b","Gaia DR2 2125731464014361088","TIC 63122956","Transit",5.91230000,,,0.062000,,,,,,,,,1.51000,,,0.321,,,
"Kepler-52","b","Gaia DR2 2133589776693414016","TIC 399825554","Transit",7.87735650,0.00003800,-0.00003800,,,,,,,,,,0.42476,,,0.187,,,
"Kepler-57","b","Gaia DR2 2126418658780855296","TIC 270615136","Transit",5.72931960,0.00001800,-0.00001800,,,,,,,,,,0.36183,,,0.195,,,
"Kepler-49","b","Gaia DR2 2053523271244105216","TIC 137555411","Transit",7.20379450,0.00002200,-0.00002200,,,,,,,,,,,,,0.243,,,
"Kepler-85","b","Gaia DR2 2127398083121764736","TIC 159580705","Transit",8.30600000,,,,,,,,,,,,,,,0.176,0.009,-0.009,
"Kepler-305","c","Gaia DR2 2073547954981763328","TIC 171879024","Transit",8.29100000,,,,,,,,,,,,0.01900,0.00800,-0.00700,0.294,0.073,-0.029,
"Kepler-128","b","Gaia DR2 2105318412166111232","TIC 123490545","Transit",15.09000000,,,,,,,,,,,,0.09700,0.01900,-0.01900,0.101,0.003,-0.003,
"Kepler-176","b","Gaia DR2 2078286197246582016","TIC 271159950","Transit",5.43307400,0.00002400,-0.00002400,0.058000,,,,,,,,,,,,0.128,0.065,-0.065,
"Kepler-26","e","Gaia DR2 2107317358665730688","TIC 164833065","Transit",46.82791500,0.00017300,-0.00017300,0.220000,,,,,,,,,,,,0.215,0.013,-0.013,
"Kepler-28","c","Gaia DR2 2125731464014361088","TIC 63122956","Transit",8.98600000,,,,,,,,,,,,0.03400,0.01900,-0.01400,0.247,0.039,-0.039,
"Kepler-52","b","Gaia DR2 2133589776693414016","TIC 399825554","Transit",7.87700000,,,,,,,,,,,,0.25000,0.14800,-0.12500,0.225,0.011,-0.011,
"Kepler-24","c","Gaia DR2 2052823535171095296","TIC 122376177","Transit",12.33300000,,,,,,,,,,,,0.10600,0.04100,-0.03000,0.211,0.078,-0.031,
"Kepler-58","b","Gaia DR2 2073274618947678464","TIC 184471242","Transit",10.21900000,,,,,,,,,,,,0.11000,0.06600,-0.04600,0.237,0.105,-0.029,
