HIP,X,Y,Z,Exo,Discovery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
104941,0.211911645,25.35060546,-62.4838053,0, None,0,0,0,-0.1,nan,-0.32,-0.24,-0.3,-0.15,-0.21,-0.27,-0.09,nan,-0.13,-0.15,-0.14,-0.2,nan,-0.09,0.06
104959,-0.287348768,10.19093399,-55.15086142,0, None,0,0,0,0,-0.5,0.06,-0.06,0,0.07,-0.04,-0.01,0.04,0.01,0.09,0.05,0.03,-0.2,-0.09,-0.04,nan
105038,-4.262748622,15.81598432,0.502429629,0, None,0,0,0,0.01,nan,-0.12,-0.01,-0.14,-0.04,-0.1,0.06,0.03,0.03,-0.01,-0.03,-0.04,-0.15,0.22,-0.04,-0.08
105066,7.899640461,-19.39202381,-38.93521729,0, None,0,0,0,0.19,-2.06,0.22,0.01,0.24,0.19,0.19,0.19,0.24,0.27,0.28,0.28,0.23,0.13,0.24,0.22,nan
105083,-45.73583945,96.28346006,-27.20567351,0, None,0,0,0,-0.17,nan,nan,-0.05,-0.23,0.01,-0.19,-0.21,-0.12,-0.02,-0.17,0.16,-0.29,-0.31,nan,-0.28,-0.24
105152,11.67373841,-15.69212316,3.197098494,0, None,0,0,0,-0.06,nan,nan,0.05,-0.09,nan,nan,0.05,nan,nan,0,nan,nan,nan,nan,-0.1,nan
105184,13.14903239,-14.36707044,14.73186434,0, None,0,0,0,0.03,nan,-0.03,-0.07,-0.08,0.03,-0.17,-0.02,0.02,0.09,0.04,-0.06,-0.06,-0.11,0.05,-0.05,0.1
105202,-26.3562567,26.48817955,18.74746358,0, None,0,0,0,-0.22,-0.59,-0.03,-0.13,-0.27,-0.2,-0.38,-0.13,-0.21,nan,-0.25,-0.32,nan,-0.57,-0.22,-0.28,nan
105214,2.081550594,-1.9794284,31.59558514,0, None,0,0,0,0.1,nan,0.16,0.21,0.03,0.2,0.18,0.13,0.11,0.2,0.15,0.07,0.07,-0.06,0.19,0.13,-0.06
105218,-48.52124813,45.53025957,-104.7182866,0, None,0,0,0,-0.06,nan,-0.23,-0.2,-0.3,-0.11,-0.21,-0.22,-0.04,nan,-0.09,-0.12,-0.1,-0.2,nan,-0.08,0.15
105312,5.427714903,-2.970583182,-16.87058829,0, None,0,0,0,-0.24,nan,-0.01,-0.19,-0.3,-0.09,-0.12,-0.22,-0.16,-0.14,-0.16,-0.29,-0.24,-0.38,-0.18,-0.28,0.04
105327,12.95799969,-5.826653799,51.91217688,0, None,0,0,0,-0.08,-0.56,-0.06,-0.1,-0.12,-0.07,-0.18,-0.08,0,-0.07,-0.01,-0.13,-0.07,-0.31,-0.15,-0.12,nan
105370,-57.39487692,17.9350736,-108.8764224,0, None,0,0,0,-0.05,-2.91,-0.25,-0.06,0.03,0.08,0.14,0.11,-0.01,-0.02,-0.05,-0.11,-0.03,-0.16,-0.02,-0.07,0.03
105388,-38.92279309,9.295199038,-15.66402679,0, None,0,0,0,0.07,nan,0.1,-0.01,-0.21,-0.22,-0.23,-0.09,-0.08,0.1,0.06,-0.01,-0.1,-0.22,0,-0.09,0.07
105390,32.50850142,-7.751188433,56.46840338,0, None,0,0,0,-0.18,nan,-0.09,-0.46,-0.19,-0.02,-0.12,-0.13,-0.14,-0.29,-0.14,-0.23,-0.25,-0.23,-0.19,-0.23,nan
